taxon_family_name,taxon_species_name,distribution_area,growth_form,conservation_status,remarks
Fabaceae,Vachellia karroo,NA,NA,NA,non native
Fabaceae,Vicia benghalensis,8,herb,NE,NA
Fabaceae,Vicia faba,1,herb,NE,NA
Fabaceae,Vicia graminea,15,herb,NE,NA
Fabaceae,Vicia montevidensis,7,vine,NE,NA
Fabaceae,Vicia sativa,4,herb,LC,NA
Fabaceae,Vicia villosa,NA,NA,NA,non native
Fabaceae,Vigna longifolia,6,vine,LC,NA
Fabaceae,Vigna luteola,10,vine,LC,NA
Fabaceae,Wisteria sinensis,NA,NA,NA,non native
Solanaceae,Bouchetia anomala,7,herb,NE,NA
Solanaceae,Brugmansia arborea,NA,NA,NA,non native
Solanaceae,Brunfelsia australis,1,shrub,LC,NA
Solanaceae,Brunfelsia pauciflora,1,shrub,LC,new record
Solanaceae,Calibrachoa calycina,4,subshrub,NE,NA
Solanaceae,Calibrachoa humilis,1,subshrub,NE,NA
Solanaceae,Calibrachoa parviflora,8,herb,NE,NA
Solanaceae,Calibrachoa pubescens,1,herb,NE,NA
Solanaceae,Calibrachoa pygmea,9,herb,NE,NA
Solanaceae,Calibrachoa scabridula,1,subshrub,NE,NA
Solanaceae,Capsicum annuum,1,shrub,LC,NA
Solanaceae,Cestrum parqui,2,shrub,LC,NA
Solanaceae,Cestrum strigilatum,2,shrub,LC,NA
Solanaceae,Datura ferox,5,herb,NE,NA
Solanaceae,Jaborosa integrifolia,1,herb,NE,NA
Solanaceae,Jaborosa runcinata,4,herb,NE,NA
Solanaceae,Lycium boerhaviifolium,2,shrub,NE,NA
Solanaceae,Lycium cestroides,2,shrub,NE,NA
Solanaceae,Lycium ciliatum,1,shrub,NE,NA
Solanaceae,Nicandra physalodes,NA,NA,NA,non native
Solanaceae,Nicotiana alata,10,herb,NE,NA
Solanaceae,Nicotiana bonariensis,8,herb,NE,NA
Solanaceae,Nicotiana glauca,3,shrub,NE,NA
Solanaceae,Nicotiana longiflora,7,herb,NE,NA
Solanaceae,Nicotiana tabacum,NA,NA,NA,non native
Solanaceae,Nierembergia aristata,1,herb,NE,NA
Solanaceae,Nierembergia calycina,4,herb,NE,NA
Solanaceae,Nierembergia ericoides,1,herb,NE,NA
Solanaceae,Nierembergia graveolens,2,herb,NE,NA
Solanaceae,Nierembergia linariifolia,2,herb,NE,NA
Solanaceae,Nierembergia pinifolia,4,herb,NE,NA
Solanaceae,Nierembergia rivularis,2,herb,NE,NA
Solanaceae,Nierembergia scoparia,9,herb,NE,NA
Solanaceae,Petunia axillaris,9,herb,NE,NA
Solanaceae,Petunia integrifolia,2,herb,NE,NA
Solanaceae,Physalis angulata,1,herb,LC,NA
Solanaceae,Physalis peruviana,NA,NA,NA,non native
Solanaceae,Physalis viscosa,8,herb,NE,NA
Solanaceae,Salpichroa origanifolia,1,herb,NE,NA
Solanaceae,Schwenckia curviflora,1,herb,NE,NA
Solanaceae,Sclerophylax lorentzianus,1,herb,NE,NA
Solanaceae,Sessea vestioides,2,shrub,NE,NA
Solanaceae,Solanum adscendens,1,herb,NE,new record
Solanaceae,Solanum americanum,2,herb,NE,NA
Solanaceae,Solanum amygdalifolium,3,shrub,NE,NA
Solanaceae,Solanum atropurpureum,1,herb,NE,NA
Solanaceae,Solanum betaceum,1,shrub,DD,new record
Solanaceae,Solanum bonariense,3,shrub,NE,NA
Solanaceae,Solanum chenopodioides,5,herb,NE,NA
Solanaceae,Solanum commersonii,14,herb,NE,NA
Solanaceae,Solanum glaucophyllum,6,shrub,NE,NA
Solanaceae,Solanum granulosoleprosum,2,shrub,LC,NA
Solanaceae,Solanum guaraniticum,1,shrub,EN,new record
Solanaceae,Solanum laxum,10,herb,NE,NA
Solanaceae,Solanum lycopersicum,NA,NA,NA,non native
Solanaceae,Solanum malmeanum,5,herb,LC,NA
Solanaceae,Solanum mauritianum,6,shrub,NE,NA
Solanaceae,Solanum pilcomayense,1,herb,NE,new record
Solanaceae,Solanum platense,4,shrub,NE,NA
Solanaceae,Solanum pseudocapsicum,9,subshrub,NE,NA
Solanaceae,Solanum pygmaeum,1,herb,NE,new record
Solanaceae,Solanum reineckii,1,subshrub,NE,NA
Solanaceae,Solanum sisymbriifolium,2,herb,NE,NA
Solanaceae,Solanum tuberosum,NA,NA,NA,non native
Solanaceae,Solanum viarum,4,shrub,LC,NA
Solanaceae,Streptosolen jamesonii,NA,NA,NA,non native
Solanaceae,Vassobia breviflora,2,tree,LC,NA
